name,city,iata,icao,lat,lng
Vršac International Airport,Vrsac,,LYVR,45.1469,21.3099
Batajnica Air Base,Batajnica,BJY,LYBT,44.9353,20.2575
Alphonse Airport,Alphonse,,FSAL,-7.0048,52.7262
Desroches Airport,Desroches,DES,FSDR,-5.6967,53.6558
Farquhar Airport,Farquhar,,FSFA,-10.1096,51.1761
Seychelles International Airport,Mahe,SEZ,FSIA,-4.6743,55.5218
Praslin Airport,Praslin,PRI,FSPP,-4.3193,55.6914
Coetivy Airport,Coetivy,,FSSC,-7.1346,56.2782
Bird Island Airport,Bird Island,BDI,FSSB,-3.7247,55.2053
Assumption Island Airport,Assumption Island,,FSAS,-9.7422,46.5068
Lungi International Airport,Freetown,FNA,GFLL,8.6164,-13.1955
Sherbro International Airport,Bonthe,BTE,GFBN,7.5324,-12.5189
Bo Airport,Bo,KBS,GFBO,7.9444,-11.761
Kenema Airport,Kenema,KEN,GFKE,7.8913,-11.1766
Mammy Yoko Heliport,Freetown,JMY,,8.4903,-13.2897
Hastings Airport,Freetown,HGS,GFHA,8.3971,-13.1291
Yengema Airport,Yengema,WYE,GFYE,8.6105,-11.0454
Gbangbatok Airport,Gbangbatok,GBK,GFGK,7.767,-12.383
Sembawang Air Base,Sembawang,,WSAG,1.4253,103.813
Paya Lebar Air Base,Paya Lebar,QPG,WSAP,1.3604,103.91
Tengah Air Base,Tengah,,WSAT,1.3873,103.709
Seletar Airport,Singapore,XSP,WSSL,1.4169,103.868
Singapore Changi Airport,Singapore,SIN,WSSS,1.3502,103.994
Changi Air Base (East),Singapore,,WSAC,1.3441,104.009
M. R. Štefánik Airport,Bratislava,BTS,LZIB,48.1702,17.2127
Košice Airport,Kosice,KSC,LZKZ,48.6631,21.2411
Kuchyňa Air Base,Malacky,,LZMC,48.402,17.1184
Piešťany Airport,Piestany,PZY,LZPP,48.6252,17.8284
Sliač Airport,Sliac,SLD,LZSL,48.6378,19.1341
Trenčín Airport,Trencin,,LZTN,48.865,17.9923
Poprad-Tatry Airport,Poprad,TAT,LZTT,49.0736,20.2411
Žilina Airport,Žilina,ILZ,LZZI,49.2315,18.6135
Cerklje Airport,Cerklje,,LJCE,45.9,15.5302
Ljubljana Jože Pučnik Airport,Ljubljana,LJU,LJLJ,46.2237,14.4576
Maribor Airport,Maribor,MBX,LJMB,46.4799,15.6861
Portoroz Airport,Portoroz,POW,LJPZ,45.4734,13.615
Slovenj Gradec Airport,Slovenj Gradec,,LJSG,46.472,15.117
Honiara International Airport,Honiara,HIR,AGGH,-9.428,160.055
Uru Harbour Airport,Atoifi,ATD,AGAT,-8.8733,161.011
Auki Airport,Auki,AKS,AGGA,-8.7026,160.682
Ballalae Airport,Ballalae,BAS,AGGE,-6.9907,155.8867
Fera/Maringe Airport,Fera Island,FRE,AGGF,-8.1075,159.577
Babanakira Airport,Mbambanakira,MBU,AGGI,-9.7475,159.839
Ngorangora Airport,Kirakira,IRA,AGGK,-10.4497,161.898
Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SCZ,AGGL,-10.7203,165.795
Munda Airport,Munda,MUA,AGGM,-8.328,157.263
Nusatupe Airport,Gizo,GZO,AGGN,-8.0978,156.864
Mono Airport,Stirling Island,MNY,AGGO,-7.4169,155.565
Rennell/Tingoa Airport,Rennell Island,RNL,AGGR,-11.5339,160.063
Marau Airport,Marau,RUS,AGGU,-9.8617,160.825
Suavanao Airport,Suavanao,VAO,AGGV,-7.5856,158.731
Kaghau Airport,Kagau Island,KGE,AGKG,-7.3305,157.585
Ramata Airport,Ramata,RBV,AGRM,-8.1681,157.643
Gatokae Airport,Gatokae,GTA,,-8.75,158.2
Sege Airport,Sege,EGM,AGGS,-8.5789,157.876
Ringi Cove Airport,Ringi Cove,RIN,AGRC,-8.1264,157.143
Afutara Aerodrome,Afutara,AFT,AGAF,-9.1914,160.9486
Ulawa Airport,Ulawa,RNA,AGAR,-9.8605,161.9795
Choiseul Bay Airport,Choiseul Bay,CHY,AGGC,-6.7119,156.3961
Santa Ana Airport,Santa Ana,NNB,AGGT,-10.848,162.4541
Yandina Airport,Yandina,XYA,AGGY,-9.0928,159.2184
Batuna Airport,Batuna,BPF,AGBT,-8.63,158
Egal International Airport,Hargeisa,HGA,HCMH,9.5182,44.0888
Berbera Airport,Berbera,BBO,HCMI,10.3892,44.9411
Kisimayu Airport,Kismayu,KMU,HCMK,-0.3774,42.4592
Alula Airport,Alula,ALU,HCMA,11.9582,50.748
Bosaso Airport,Bosaso,BSA,HCMF,11.2753,49.1494
Aden Adde International Airport,Mogadishu,MGQ,HCMM,2.0144,45.3047
Galcaio Airport,Galcaio,GLK,HCMR,6.7808,47.4547
Burao Airport,Burao,BUO,HCMV,9.5275,45.5549
Boorama Airport,Boorama,BXX,,9.933,43.15
Alexander Bay Airport,Alexander Bay,ALJ,FAAB,-28.575,16.5333
Aggeneys Airport,Aggeneys,AGZ,FAAG,-29.2818,18.8139
Brakpan Airport,Brakpan,,FABB,-26.2386,28.3018
Bisho Airport,Bisho,BIY,FABE,-32.8971,27.2791
Bram Fischer International Airport,Bloemfontein,BFN,FABL,-29.0927,26.3024
Bethlehem Airport,Bethlehem,,FABM,-28.2484,28.3361
Hendrik Potgieter Airport,Bothaville,,FABO,-27.3668,26.6292
Cape Town International Airport,Cape Town,CPT,FACT,-33.9648,18.6017
Calvinia Airport,Calvinia,,FACV,-31.5003,19.7259
King Shaka International Airport,Durban,DUR,FALE,-29.6144,31.1197
Ben Schoeman Airport,East London,ELS,FAEL,-33.0356,27.8259
Ermelo Airport,Ermelo,,FAEO,-26.4956,29.9798
Ficksburg Sentraoes Airport,Ficksburg,,FAFB,-28.8231,27.9089
Grand Central Airport,Johannesburg,GCJ,FAGC,-25.9863,28.1401
George Airport,George,GRJ,FAGG,-34.0056,22.3789
Graaff Reinet Airport,Graaff Reinet,,FAGR,-32.1936,24.5414
Grahamstown Airport,Grahamstown,,FAGT,-33.2847,26.4981
Greytown Airport,Greytown,,FAGY,-29.122,30.5867
Harmony Airport,Harmony,,FAHA,-28.0787,26.8612
Harrismith Airport,Harrismith,,FAHR,-28.2351,29.1062
Hoedspruit Air Force Base Airport,Hoedspruit,HDS,FAHS,-24.3686,31.0487
Gariep Dam Airport,Hendrik Verwoerddam,,FAHV,-30.5622,25.5283
OR Tambo International Airport,Johannesburg,JNB,FAJS,-26.1392,28.246
P C Pelser Airport,Klerksdorp,,FAKD,-26.8711,26.718
Kimberley Airport,Kimberley,KIM,FAKM,-28.8028,24.7652
Krugersdorp Airport,Krugersdorp,,FAKR,-26.0808,27.7259
Kroonstad Airport,Kroonstad,,FAKS,-27.6606,27.3158
Johan Pienaar Airport,Kuruman,KMH,FAKU,-27.4567,23.4114
Kleinsee Airport,Kleinsee,KLZ,FAKZ,-29.6884,17.094
Lanseria Airport,Johannesburg,HLA,FALA,-25.9385,27.9261
Lichtenburg Airport,Lichtenburg,,FALI,-26.1757,26.1846
Makhado Air Force Base Airport,Lambertsbaai,,FALM,-23.1599,29.6965
Langebaanweg Airport,Langebaanweg,,FALW,-32.9689,18.1603
Ladysmith Airport,Ladysmith,LAY,FALY,-28.5817,29.7497
Middelburg Airport,Middelburg,,FAMB,-25.6848,29.4402
Margate Airport,Margate,MGH,FAMG,-30.8574,30.343
Marble Hall Airport,Marble Hall,,FAMI,-24.9891,29.2831
Majuba Power Station Airport,Majuba Power Station,,FAMJ,-27.0793,29.7785
Riverside Airport,Malalane,,FAMN,-25.43,31.5767
Morningside Farm Airport,Musina,MEZ,FAMS,-25.7045,26.909
Mkuze Airport,Mkuze,,FAMU,-27.6261,32.0443
Newcastle Airport,Newcastle,NCS,FANC,-27.7706,29.9769
Nylstroom Airfield,Nylstroom,,FANY,-24.6861,28.4349
Overberg Airport,Overberg,,FAOB,-34.5549,20.2507
Oudtshoorn Airport,Oudtshoorn,DUH,FAOH,-33.607,22.189
Port Elizabeth Airport,Port Elizabeth,PLZ,FAPE,-33.9849,25.6173
Plettenberg Bay Airport,Plettenberg Bay,,FAPG,-34.0882,23.3287
Hendrik Van Eck Airport,Phalaborwa,PHW,FAPH,-23.9372,31.1554
Pietersburg Municipal Airport,Polokwane,,FAPI,-23.9261,29.4844
Port St Johns Airport,Port Saint Johns,,FAPJ,-31.6059,29.5198
Pietermaritzburg Airport,Pietermaritzburg,PZB,FAPM,-29.649,30.3987
Pilanesberg International Airport,Pilanesberg,NTY,FAPN,-25.3338,27.1734
Polokwane International Airport,Potgietersrus,PTG,FAPP,-23.8453,29.4586
Potchefstroom Airport,Potchefstroom,,FAPS,-26.671,27.0819
Parys Airport,Parys,,FAPY,-26.8893,27.5034
Queenstown Airport,Queenstown,UTW,FAQT,-31.9202,26.8822
Richards Bay Airport,Richard's Bay,RCB,FARB,-28.741,32.0921
Rustenburg Airport,Rustenburg,,FARG,-25.6443,27.2711
Robertson Airport,Robertson,ROD,FARS,-33.8122,19.9028
Springbok Airport,Springbok,SBU,FASB,-29.6893,17.9396
Secunda Airport,Secunda,,FASC,-26.5241,29.1701
Saldanha /Vredenburg Airport,Saldanha,,FASD,-32.9641,17.9693
Springs Airfield,Springs,,FASI,-26.2494,28.3983
Swartkop Air Force Base,Swartkop,,FASK,-25.8097,28.1646
Sishen Airport,Sishen,SIS,FASS,-27.6486,22.9993
Hendrik Swellengrebel Airport,Swellendam,,FASX,-34.0482,20.4746
Skukuza Airport,Skukuza,SZK,FASZ,-24.9609,31.5887
Tommys Field Airport,Tommy's Field,,FATF,-28.26,22.9932
New Tempe Airport,Bloemfontein,,FATP,-29.0329,26.1576
Tutuka Power Station Airport,Tutuka,,FATT,-26.7766,29.3388
Tzaneen Airport,Tzaneen,LTA,FATZ,-23.8244,30.3293
Prince Mangosuthu Buthelezi Airport,Ulundi,ULD,FAUL,-28.3206,31.4165
Pierre Van Ryneveld Airport,Upington,UTN,FAUP,-28.3991,21.2602
K. D. Matanzima Airport,Umtata,UTT,FAUT,-31.5464,28.6734
Vryburg Airport,Vryburg,VRU,FAVB,-26.9824,24.7288
Virginia Airport,Durban,VIR,FAVG,-29.7706,31.0584
Vredendal Airport,Vredendal,,FAVR,-31.641,18.5448
